conversation_id,turn,speaker,text,agency
237cf28e-8143-4448-b62d-f0cbae23a9ef,1,user,"Tere! Ma olen kuulnud, et on oluline kontrollida isikukaitsevahendite ohutust. Kust ma peaksin alustama nende kohta infot leidmiseks?",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
237cf28e-8143-4448-b62d-f0cbae23a9ef,2,assistant,"Tere! Oluline küsimus. Alustuseks on oluline teada, et isikukaitsevahendite ohutust reguleerib Euroopa Parlamendi ja Nõukogu määrus (EL) 2016/425. See määrus kehtib täismahus alates 21. aprillist 2018. Lisainfot saate ka Eesti Standardimis- ja Akrediteerimiskeskuse koduleheküljelt www.evs.ee, kus on erinevad standardid olenevalt tootekategooriast.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
bb0cbff5-ebe4-4cff-97d3-45e71a1a2619,1,user,"Tere! Ma olen kuulnud, et Tarbijakaitseamet järelleb isikukaitsevahendite ohutust. Mis see tähendab täpsemalt?",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
bb0cbff5-ebe4-4cff-97d3-45e71a1a2619,2,assistant,"Tere! See tähendab, et Tarbijakaitse ja Tehnilise Järelevalve Amet (TJAT) järelleb, et isikukaitsevahendid vastaksid ohutusnõuetele. Peamiseks seadusandluseks on Euroopa Parlamendi ja Nõukogu määrus (EL) 2016/425.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
862532cd-f980-4b7c-9a6e-6e6181057790,1,user,"Tere! Ma olen kuulnud, et Tarbijakaitseamet jälgib isikukaitsevahendite ohutust. Kuidas see täpselt toimib?",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
862532cd-f980-4b7c-9a6e-6e6181057790,2,assistant,Tere! See on õige. Meie amet jälgib isikukaitsevahendite ohutust peamiselt Euroopa Parlamendi ja Nõukogu määruse (EL) 2016/425 alusel. See määrus reguleerib isikukaitsevahendite nõuetele vastavust ja ohutust kogu ELis.,output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
c603e690-dcb7-4018-a71e-ed37792c7838,1,user,"Tere! Mul on küsimus Tarbijakaitse Ameti kohta. Kuidas ma saan kaebust esitada, kui ostuga on probleeme?",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
c603e690-dcb7-4018-a71e-ed37792c7838,2,assistant,"Tere! Kui Teil on ostuga probleeme, on kõigepealt soovituslik pöörduda otse müüja poole. Esitage kaebus võimalikult kiiresti, aga hiljemalt kahe kuu jooksul alates vea avastamisest. Peaksite olema valmis näitama ostutšeki, lepingu või muu tõend, et ostate kaupu või teenuseid.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
b753a60e-1ade-4a9b-9e21-4bd0e62fab3e,1,user,"Tere! Ma ostsin hiljuti televiisori, aga see ei tööta korralikult. Kuidas ma peaksin selle kohta kaebust esitama?",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
b753a60e-1ade-4a9b-9e21-4bd0e62fab3e,2,assistant,"Tere! Esiteks, otsige üles ostutšekk või mingi muu dokument, mis tõendab ostu. See on oluline. Seejärel pöörduge viivitamatult selle poodi, kust televiisori ostsite. Kaebuse esitamine peaks toimuma hiljemalt kahe kuu jooksul alates vea avastamisest.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
d9251a5f-19ad-4a76-b054-7adf91f78ac2,1,user,"Tere! Ma olen ostnud poodist televiisori, aga see ei tööta nii, nagu peaks. Kust ma peaksin selle kohta kaebust esitama?",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
