conversation,agency
"user: Tere! Ma tahaksin teada, kuidas lapsele passi taotlemine toimib. Kus ma peaksin selle aja broneerima?
assistant: Tere! Lapse passi taotluse menetluse aega saad broneerida Politsei- ja Piirivalveameti teeninduses. Broneeringu võimalus on saadaval aadressil https://broneering.politsei.ee/ või vaata teenindusi aadressil (/et/asukohad/teenindused).",output_Politsei-_ja_Piirivalveamet
"user: Tere! Ma just hakkasin tarbija õiguste kohta rohkem huvi tundma. Mis on kõige olulisem asi, mida tarbijana teada tuleks?
assistant: Tere! Kõige olulisem on see, et Sul on õigus nõuda ja saada kaup või teenus, mis vastab nõuetele ja on ohutu Sinu elule, tervisele ja varale. Lisaks peab kaupleja andma Sulle selle kohta vajalikku teavet, et Sa saaksid teadlikult otsuse teha.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Mul on küsimus elamisloakaardi taotlemise kohta. Kuidas ma üldiselt sellele protsessile alustan?
assistant: Tere! Elamisloakaardi taotlemiseks pead sul olema sobiv teenindus ja isikut tõendav dokument. Sa saad teeninduses aega broneerida või tulla lihtsalt kohale. Broneeringu sooritamiseks vaata seda linki: https://broneering.politsei.ee/",output_Politsei-_ja_Piirivalveamet
"user: Tere! Ma ei ole päris kindel, mis Mobiil-ID on. Kas see on uus ID-kaart nutitelefonile?
assistant: Tere! Jah, Mobiil-ID on täpselt selline – see on digitaalne isikutunnistus, mis on alati sinuga nutiseadmega kaasas. See põhineb SIM-kaardil ja on riikliku garantii all, nagu ka tavaline ID-kaart (digi-ID, elamisloakaart). See on väga sarnane, aga selle saab kasutada just nutiseadmest.",output_ID.ee
"user: Tere! Ma arvan, et digitaalsed dokumendid on nagu tavalised dokumendid, aga elektroonilised. Kas seda täiesti õigesti arvan?
assistant: Tere! Üsna täiesti õigesti! Digitaalsed dokumendid on tegelikult tavalised dokumendid – nagu ID-kaart, elukirja või passi – aga need on kujutatud digitaalselt, elektroniliselt. See tähendab, et neid saab hoida ja kasutada numbriliselt, mitte ainult paberil. Kas sa tahad teada rohkem nende erinevatest tüüpides või sellest, kuidas neid kasutada?",output_ID.ee
"user: Tere! Ma arvan, et mobiil-ID on juurde tulnud. Aga kuidas see töötab? Kas ma pean mingit eraldi seadet kasutama?
assistant: Tere! Jah, mobiil-ID on juurde tulnud ja selle abil saad e-teenustesse sisse logida ilma ID-kaardita. Pead seda üldiselt eraldi seadetega kasutada ei pea - see töötab nii arvutis, tahvelarvutis kui ka telefonis. Kui sa seda kasutad, siis piisab sellest, et sa mäletaksid oma mobiil-ID PIN-koode. Kas sul on kunagi olnud ID-kaart või oskad sellega sisse logida?",output_ID.ee
"user: Tere! Ma lugesin seda artiklit sideteenuste kohta, aga mul on veidi segadus. Mis on kõigepealt oluline teada roamingu kohta?
assistant: Tere! Oluline on teada, et roaming on sideteenus, mis algab sinu koduriigis ja lõppeb teise Euroopa Liidu liikmesriigi telefonil. See on teenus, mille eest tavaliselt tasutakse tegeliku kasutamise põhjal. Artiklis on ka infot selle kohta, kuidas roamingu tasud on piiratud.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Ma kuulen, et Tarbijakaitse ja Tehnilise Järelevalve Amet (TTJA) tegeleb sideteenuste tarbijate kaitsega. Kuidas nad seda teevad?
assistant: Tere! TTJA reguleerib sideteenuste valdkonda eriseaduse, elektroonilise side seaduse kaudu. Selle seaduse 9. peatükk keskendub just sideteenuste osutamisele lõppkasutajale ja nende õiguste kaitsele. See seab nõudeid näiteks lepingu sõlmimisele, rikete kõrvaldamisele ja lepingu muutmisel.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Mul on küsimusi droonide kasutamise kohta Eestis. Mis on kõige olulisem asi, mida ma peaksin teadma nende kasutamisel, eriti sageduste osas?
assistant: Tere! Droonide puhul on oluline teada, et raadiosagedusi kasutatakse nii drooni juhtimiseks kui ka video edastamiseks. Paljud droonid, mida kasutatakse hobina, ei vaja sagedusluba, kuid need peavad siiski töötama Euroopa standarditele vastavate sageduste piires, mis on määratud Eesti raadiosagedusplaanis (ERSP).",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Kas ma saan lapse välismaalase passi taotleda Politsei- ja Piirivalveametist?
assistant: Muidugi! Jah, saab. Aga kõigepealt on oluline teada, kus ja kuidas seda kõige paremini teha. Kui laps on alla 18aastane, siis passi taotlemine toimub tavaliselt Politsei- ja Piirivalveametis. Küll aga on oluline mõelda, kust taotlus kõige paremini vastuvõetakse ja mida sinu lapse puhul tähendab kiireks tegemiseks (kiire kohalviisa).",output_Politsei-_ja_Piirivalveamet
"user: Tere! Ma sain uue ID-kaardi, aga ei oska PIN- ja PUK-koodi kasutada. Mis see kõigega kokku tegemist on?
assistant: Tere! Tore, et sa uue ID-kaardi said! PIN- ja PUK-koodid on need, mis sinu ID-kaardiga elektrooniliselt ID-d tõestada panevad. Nii, et ilma neist ei saa ID-kaarti kasutada. Üks asi, mis väga oluline on, on nende turvalisus. Peame need koodid omaette kaardist eemal hoida, et keegi neid ära ei võiks. Kas sa tead, kus need koodid on?",output_ID.ee
"user: Tere! Mul on küsimus – mida tähendab välismaalase passi taotlemine? Mida see üldse on?
assistant: Tere! Välismaalase pass on reisidokument, mille Eesti Vabariik annab välismaalasele. See on nagu reisipass, aga just sinule, kui sa ei ole Eesti kodanik.",output_Politsei-_ja_Piirivalveamet
"user: Tere! Ma tahan oma relvaloa kehtivust pikendada. Kas ma pean selleks laskekatset tegema?
assistant: Tere! See oleneb relvaloa otstarbest. Kui relvaloa eesmärk on ainult enese ja vara kaitse, siis jah, pead täiendava laskekatse sooritama. Kui aga on märgitud jahipidamine või sport, siis laskekatset ei pea tegema.",output_Politsei-_ja_Piirivalveamet
"user: Tere! Mul on küsimus Eesti politsei lipust. Mis on selle peamine värv ja mida see sümboliseerib?
assistant: Tere! Eesti politsei lipu peamine värv on sinine. See värv sümboliseerib rahu ja stabiilsust, sest see on ka üks meie riigilipu värve.",output_Politsei-_ja_Piirivalveamet
"user: Tere! Kas te saate öelda, kus Rakvere politseijaoskond asub?
assistant: Muidugi! Rakvere politseijaoskond asub aadressil Fr. R. Kreutzwaldi 5a, 44314 Rakvere. See on väga kerge kohas leida, järgige peatus „Teater“ bussid nr 5 või 5A! Kas sulle täpsem info selle kohta vaja on?",output_Politsei-_ja_Piirivalveamet
"user: Tere! Ma kuulsin, et Tarbijakaitse ja Tehnilise Järelevalve Amet (TTJA) jälgib sideturgu. Mis need täpselt on ja mida TTJA seal teeb?
assistant: Tere! Sideturgude all silmitakse erinevaid teenuseid, nagu näiteks kõne lõpetamise hulgateenus telefonivõrgus, mobiiltelefonivõrgus, ning kohalik juurdepääsu hulgateenus või masstoodete keskse juurdepääsu hulgateenus. TTJA peab silmas elektroonilise side turgude arenguid, analüüsib neid ja annab vajadusel ka loa rändlusteenustel lisatasude rakendamiseks.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Ma olen kuulnud, et on mingid reeglid, mis piiravad roaming-tasusid. Kas see on tõsi?
assistant: Jah, see on tõsi! Euroopa Liidus on reeglid, mis piiravad, kui palju sinult roaming-teenuste eest küsitakse. Näiteks kõneminuti kohta ei tohi küsitud tasu ületada 0,19 / 0,228 eurot ja SMS-i kohta 0,06 / 0,072 eurot.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Ma mõtlesin alustada mobiil-ID kasutusega. Kas see on midagi, mis on uus või midagi, millele ma võin minna?
assistant: Tere! Päris tore, et huvitatud olete! Mobiil-ID on kindlasti modernsem ja mugavam lahendus kui vana ID-kaart. See on riiklikult tunnustatud digitaalne isikutunnistus, millega saate juurida erinevaid e-teenuseid. Kas te kujulite, et teate, mis see on?",output_ID.ee
"user: Tere! Ma arvan, et ID-tarkvara on päris oluline. Kas te saate mulle öelda, mis tarkvaraversiooni toeperioodi pikkus tähendab?
assistant: Tere! Jah, seda on oluline mõistata. Tarkvaraversiooni toeperioodi lõpp tähendab, et ID kasutajatugi enam seda versiooni teadmistebaasis enam ei uuenda. Lisaks sellele ei testita enam selles versioonis viidatud vigade olemasolu, ja tehnilisi lahenduse muudatusettepanekuid ei vastu võeta.",output_ID.ee
"user: Tere! Ma arvan, et ma tean, et digiallkirjastatud failid on ühel kujul, aga kas .bdoc ja .asice on ühesellegi sarnaselt? Kas need on täpselt sama asi?
assistant: Tere! Jah, see on väga hea küsimus. Peamijärjekorda on see, et mõlemad on digitaalsed allkirjad, aga nad on tehniliselt erinevad. .bdoc oli varem kasutatud formaat, kuid .asice on praegune standard. Pidev muutmine on selleks, et sobiks rahvusvaheliselt paremini. Kas sul on mõni konkreetne küsimus, millele sa vastust vajad?",output_ID.ee
"user: Tere! Olen kuulnud, et Tarbijakaitseamet on uuringuid teinud. Mis neid puudutab kõige viimati?
assistant: Tere! Jah, viimase aja uuringuid on mitmeid. Näiteks on valminud uuring, mis annab hinnangu 1 Gbit/s kiirust võimaldava passiivse lairibataristu rajamise maksumus maapiirkondades. Samuti on EKI teinud uuringu tarbijate teadlikkusest nende õigustest veebiküsitlusega.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Sain palju informatsiooni laenude kohta. Kuidas ma saan aru, mida ma peaksin tegema, kui ma hakkasin laenumaksetega hiljaks jääma?
assistant: Tere! Kui oled hätta laenumaksetega, on oluline hakata lahendusi otsima enne, kui võlgu jääd. Korrektse maksekäitumisega kliendil on lihtsam laenuandjaga kompromisse leida. Kas sa soovid, et ma rääkiks sellest, milliseid võimalusi pangad üldjuhul pakuvad?",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Mida tähendab kemikaal Tarbijakaitse ja Tehnilise Järelevalve Ameti definitsiooni järgi?
assistant: Tere! Tarbijakaitse ja Tehnilise Järelevalve Ameti definitsiooni järgi on kemikaal mistahes aine või segu, mis sisaldab või tekitab üht või enamat toimeainet ja mille eesmärk on kahjulike organismide hävitamine, tõrjumine, kahjutuks muutmine või võitlemine nendega muul viisil kui puhtfüüsikaliste toimingutega. See võib olla ka näiteks puhastamiseks ettenähtud pindaktiivseid aineid sisaldav aine.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Ma olen kuulnud, et e-ostmine on mugav, aga ka riskantne. Mis peab silmas pidama, kui tellin midagi veebipoest?
assistant: Tere! Täiesti õige, mugavus käib käpa sees riskiga. Kõigepealt on oluline teada, kas veebipood kuulub juriidilisele isikule või eraisikule. Vaata, kelle pangakontole raha läheb ja kas ettevõte on registreeritud äriregistris. Eraisikult ostes ei kehti sulle seadusest tulenev kaitse, näiteks 14-päevane taganemisõigus.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Kas mul on vaja sertifikaate ID-kaardi jaoks? Ma ei ole kindel.
assistant: Tere! Jah, ID-kaardi kasutamiseks on vajalikud sertifikaadid. Need garanteerivad teie identiteedi elektroonilises keskkonnas. Need annavad võimaluse sisse logida e-teenustesse ja digitaalseid allkirju anduda. Kas te olete varem sertifikaate kasutanud?",output_ID.ee
"user: Tere! Ma olen huvitatud elektriseadmete kohta teadmise saamisest, eriti seoses Tarbijakaitse ja Tehnilise Järelevalve Ameti nõuetele. Mis on üldiselt oluline, et elektriseade oleks seaduslikult turul saadaval?
assistant: Tere! Oluline on see, et elektriseade oleks valmistatud Euroopa Liidus kehtivate ohutustehnika tavade kohaselt ja ei tohi ohustada inimeste tervist, kui seda õigesti paigaldatakse ja kasutatakse. Enamus elektriseadmeid peab olema varustatud CE-märgise, kuna need kuuluvad madalpinge-, elektromagnetilise ühilduvuse- ja ohtlike ainete sisaldusdirektiivide alla.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Mul on küsimusi seoses toodete ligipääsetavusega. Kust ma peaksin alustama?
assistant: Tere! Kõigepearem on hea teada, et Eesti seadus toodete ja teenuste ligipääsetavuse kohta tugineb Euroopa Liidu direktiivile. Selle kohta on Eestis koostatud mitmeid määrusi, näiteks määrus nr 46, mis käsitleb ettevõtja ebaproportsionaalse koormuse hindamist. Alustage lugemine eelnimetatud määrusest, kui te olete tootja või teenuse osutaja.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Kas te saate öelda, kus ma saan RIA DigiDoc mobiilirakenduse uusima versiooni alla laadida?
assistant: Muidugi! Uusima versiooni saate alla laadida App Store'ist: https://itunes.apple.com/ee/app/ria-digidoc/id1216104448?mt=8 või Google Play Store'ist: https://play.google.com/store/apps/details?id=ee.ria.DigiDoc.",output_ID.ee
"user: Tere! Ma kuulsin midagi raadiosagedustest ja Tarbijakaitse ja Tehnilise Järelevalve Ameti seotusest. Mis see tähendab?
assistant: Tere! Raadiosageduste kasutamist Eestis reguleeribki Tarbijakaitse ja Tehnilise Järelevalve Amet. See tähendab, et nad jälgivad, kuidas me neid sagedusi kasutame, et ei oleks häireid ja kõik toimiks korrektselt. Suur osa selle info on kättesaadav Euroopa infobaasis, nimega EFIS.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Ma olen välismaalane ja plaanin Eestis ettevõtlusega alustada. Kas te saaksite mulle rääkida, millised on elamisloa tingimused füüsilisest isikust ettevõtjale (FIE)?
assistant: Tere! Jah, muidugi. Ettevõtluseks elamisluba FIE-le saada, on mitmeid tingimusi. Peamiseks on see, et olete oma ärisse Eestis vähemalt 16 000 eurot investeerinud ja olete registreeritud Eesti Äriregistris. Kas te olete juba Äriregistris registreeritud?",output_Politsei-_ja_Piirivalveamet
"user: Tere! Ma kuulsin, et Tarbijakaitse ja Tehnilise Järelevalve Amet tegeleb koduohutusega. Mis see täpselt tähendab?
assistant: Tere! Jah, me tegeleme koduohutusega. See tähendab, et me jälgime, et sinu kodu oleks ohutu kasutada – ehitise konstruktsioonid, tehnosüsteemid, kõik see peab olema korras. Ehitise omanik on vastutav selle ohutuse eest.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Ma kuulsin, et on selline Tarbijavaidluste komisjon. Mis see komisjon tegelikult on ja millal ma saan seda kasutada?
assistant: Tere! Tarbijavaidluste komisjon on Tarbijakaitse ja Tehnilise Järelevalve Ameti juures tegutsev organ. Sa saad seda kasutada siis, kui sul on tekkinud vaidlus kauplejaga ja teinud kaubandusvaidluse lahendamisel jõuetud oled. Komisjon vaatab sinu juhtumit üle ja püüab leida lahenduse.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Ma ei ole päevalt aru saanud, mis MyID portaal on ja mida ta pakub. Kas saate mulle sellest pisut rääkida?
assistant: Muidugi! MyID portaal on ID.ee poolt pakutav keskoht, kus saab infot teatud digitaalsete identifikaatorite kohta, nagu Mobiil-ID, ID-kaart, Digi-ID ja Smart-ID. Need on kõik sertifikaate ja tehinguid pidav digitaalne identifikaatorid, mis on väljaõnnestatud SK ID Solutions AS (SK) poolt. Kas teiega on oluline teada, mida need identifikaatorid täpselt teevad?",output_ID.ee
"user: Tere! Mul on küsimus teenuse ohutuse kohta. Mis on minu õigused tarbija?
assistant: Tere! Tarbija õigus on see, et teenus peab vastama kehtestatud nõuetele. Kui erinõudeid pole, siis teenuse tavakasutus ei tohi ohustada sinu elu, tervist või vara. Kas sa oled huvitatud teadma, kuidas teenuse pakkuja seda tagab?",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Ma kuulsin, et Tarbijavaidluste Komisjon (KKK) aitab probleemidega, mis kauplejatega tekivad. Kas komisjoni poole pöördumine on tasuta?
assistant: Tere! Jah, on õige. Tarbijavaidluste komisjoni poole pöördumine, avalduse läbivaatamine ja tarbijavaidluse menetlus on täiesti tasuta. Teil ei pea selle eest midagi maksma.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Ma olen huvitatud Narva arestimajast. Kas ma saan sinna keegi poeletti tuua?
assistant: Tere! Narva arestimajja ei saa arestalistele pakke tuua. See on oluline reegel, mida tuleb järgida.",output_Politsei-_ja_Piirivalveamet
"user: Tere! Ma tahan teada, mida ma saan teha, kui mulle keeldutakse viisast. Mis on mu võimalused?
assistant: Tere! Kui Teile keeldutakse viisast, on Teil õigus selle otsuse vaidlustada. Teil on võimalik PPA-le esitada vaideavaldus keelduvast otsusest.",output_Politsei-_ja_Piirivalveamet
"user: Tere! Ma kaotanud oma rahakoti Jõhvis. Kas te teate, kust ma saan politseisse pöörduda?
assistant: Tere! Jõhvi politseijaoskond asub Rahu 38, 41588 Jõhvi. Nad on avatud esmaspäevast reedeni kell 9.00 kuni 17.00.",output_Politsei-_ja_Piirivalveamet
"user: Tere! Ma kuulsin palju Rail Balticu kohta. Kas sa saaksid mulle öelda, miks praegune trass kõige kallim variant on?
assistant: Tere! Jah, muidugi. Analüüs näitas, et olemasoleva trassi ümberehitus, nagu kurvide sirgemaks tegemine ja teise rööpapaari lisamine, oleks kallim kui uus trass. Lisaks ei oleks võimalik Euroopa ühendamise rahastu toetust täiendavalt kasutada Tartu ja Valga trassi puhul samas mahus kui uue trassi puhul.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Ma arvan, et probleem on ID kaardiga. Ma ei saa seda kasutada. Kas teil on midagi, mis aitab?
assistant: Tere! Jah, meil on ID kaardiga seotud küsimustele vastuseid. Palju täpsemalt, kui probleem on, seda parem on abi. Kas saate palun öelda, mis täpselt probleem on? Kas on viga lugemisega, või ei saa seda üldse kasutada?",output_ID.ee
"user: Tere! Mul on küsimus Tarbijakaitse Ameti kohta. Kuidas ma saan kaebust esitada, kui ostuga on probleeme?
assistant: Tere! Kui Teil on ostuga probleeme, on kõigepealt soovituslik pöörduda otse müüja poole. Esitage kaebus võimalikult kiiresti, aga hiljemalt kahe kuu jooksul alates vea avastamisest. Peaksite olema valmis näitama ostutšeki, lepingu või muu tõend, et ostate kaupu või teenuseid.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Ma arvan, et minu ID-tarkvara on vanamatu. Kuidas ma saan selle uuemaks tegema?
assistant: Tere! Päev! Võib olla, et on aeg selle uuemaks tegema. ID-tarkvara versiooninumber annab teada, kui uus tarkvara on. Mida suurem number, seda uuem. Kuidas sa siis selle uuemaks tegema soovid? Sa saad selle lehele laadida: [ID-tarkvara leht] (lahtiselt ID.ee lehelt).",output_ID.ee
"user: Tere! Ma nägin, et Politsei- ja Piirivalveamet on Facebookis. Kas te mulle ökaks, kus on PPA peamine Facebooki leht?
assistant: Tere! Jah, PPA on aktiivne Facebookis. PPA peamine Facebooki leht on https://www.facebook.com/politseijapiirivalveamet/. Seal saab leida palju teavet politseitöö kohta ja küsida küsimusi. Kas sulle see leht huuma?",output_Politsei-_ja_Piirivalveamet
"user: Tere! Ma olen kuulnud, et droonide kasutamine on muutunud üsna levinud. Kas Tarbijakaitse ja Tehnilise Järelevalve Amet (TTJA) jälgib nende kasutamist?
assistant: Jah, küllap! TTJA jälgib droonide kasutamist, eriti seoses raadiosageduste kasutusega. Droonid kasutavad neid sagedusi nii juhtimiseks kui ka video edastamiseks. Oluline on, et need seadmed vastaksid nõuetele, sealhulgas CE-märkise olemasolule.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Ma kuulsin Rail Balticu kohta palju juttu. Kus saab infot selle keskkonnamõjude hindamise kohta?
assistant: Tere! Tarbijakaitse ja Tehnilise Järelevalve Amet (TTJA) avalikustab selliseid teateid. Need on leitavad siit: https://ttja.ee/eraklient/tarbija-oigused/avalikud-teated/keskkonnamoju-hindamisega-seotud-teated",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
"user: Tere! Mulle on veidi segadus reklaamide osas. Kas saaksid mulle selgitada, mida Tarbijakaitse ja Tehnilise Järelevalve Amet reklaamide kohta ütleb?
assistant: Tere! Muidugi. Tarbijakaitse ja Tehnilise Järelevalve Ameti (TTJA) kohaselt peab reklaam tavaliselt kohe nähtavale hüppama, et teada, et see on reklaam. See peab selgelt eristuma teistest teadetest. Samuti peaks reklaamist selgeks saama, kes reklaami tellija on – näiteks nime, kaubamärgi või domeeninihi.",output_Tarbijakaitse_ja_Tehnilise_Jarelevalve_Amet
